,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
PA0,-0.0504457383217595,0.137334030394564,-0.0373854591722445,-0.205529329491137,0.0609394012483063,-0.0649951524487979,-0.0535811427599414,-0.0313485678821165,0.0473409110597068,-0.122657504614033,0.0212523659747991,-0.00275762737913201,-0.0633322830357054,0.00584034062096964,0.0122032306873354,-0.121109462955954,0.00878016898487186,0.0757818101301145,-0.0443585201410742,-0.0927512454664475,-0.214853195992823,0.057249797542755,-0.121743595360957,-0.0946006897451067,-0.117216520342879,0.24743524662552,0.0971184334712389,-0.0176400418979817,0.0873512156471843,-0.0167791391347784,0.0321091189254001,0.000209010340826546,0.0249456069422406,-0.0570770626346787,0.139857972521164,0.0943090253835246,0.0234955949220478,0.0554767701938125,-0.121036560811417,-0.0292389322008725,0.146194035893611,-0.100609920101612,0.0161719579880718,-0.00881249035576971,-0.0977094461688116,0.0351929572992393,-0.0201164724727082,0.0518384515659905,-0.174850275217076,0.0270036365439575,0.0304624323416237,0.00350323796012279,0.0484012809780803,-0.0179495145440018,0.0186816557555516,0.00583368037568158,-0.0505268320756099,-0.00012469920141494,0.0129050132478748,0.00612855015956344,-0.00231946897512732,0.123310627050678,0.094446890525598,-0.0338134860561376,-0.0122995610050989,0.0655668840544476,-0.0881758450420944,-0.0999307169209959,0.037158067635216,0.0339127223729931,-0.0935654311624252,-0.0325271342372306,0.171279305075959,-0.136683716926531,-0.00363974577400295,0.114197894043217,0.115857846612552,-0.092114458998949,0.00766164799526154,-0.0294549683988792,0.187380683627465,-0.122063121396166,-0.0223269915015242,-0.0390910294810359,-0.278829658405958,0.00129571600757059,-0.044855060373589,0.0323426288467182,-0.0709032983106861,-0.0118860557347912,-0.134243066087274,-0.171543677729663,0.00913455403298882,-0.181427081583607,0.0672435734074914,-0.13483418644752,0.0120005798568056,-0.0794075212608735,0.0502457796380589,0.123505868624762
PA1,1.79131985870011,2.04760561524561,1.98782172759953,1.91757568796919,1.89497718166306,2.05863229859053,2.02807054554296,2.05209145676791,1.90482163789985,1.97111517885657,1.90934793495044,1.93843627819152,2.17476613344968,2.07789238345464,2.12543931396281,2.11258402480818,1.98618797756907,2.18018317359931,2.0952046820266,2.03826095213218,2.02164608019,1.97456357420723,1.99609349279037,2.04932488359567,2.04124573182234,2.10802994339944,1.93013608561743,1.96004957465132,2.13192719652754,1.97164053742227,2.12987553067604,1.9826815047557,1.94905054904066,1.94990959514664,1.9066642800672,2.03818313827945,2.02336220289574,2.09424778067024,2.04318565207534,2.03226011053167,1.93330367526137,2.05468772565151,2.09491102424408,2.19211917728251,1.94173097143474,2.05912411807434,2.15544229665627,2.00902659395128,1.96377211420008,2.08549993556834,2.05414129202189,1.97845919107261,1.95769863654719,2.14773319850852,1.98653630577305,2.00513880941628,1.80627937103082,2.19623333815675,2.03432142265597,2.08548961310497,1.82034129331431,2.1309966364296,2.078967135576,1.98351785617655,1.9028855619069,2.03830632001301,1.88315190020251,2.02415797404085,2.07497004919075,2.26699310019851,2.13558775888614,2.01566428209688,1.99229191269962,1.97228765336251,1.85848309070054,2.18933112723044,1.9708946669037,2.01993248332244,1.99992942070684,2.02277144032445,1.98167669634485,1.97914396968371,2.06520124554325,1.88546050622846,1.95554836971085,2.01731532062945,2.11732993139114,2.07920470305414,2.1098585857864,2.00905350036523,1.90760903651991,2.06471213440338,2.10907354332901,1.95346617114794,1.8382106435312,1.84977748271615,1.84813542627117,1.9470153477318,1.88841852369476,1.97534017916494
PA2,-2.06358695673285,-1.98001624452794,-1.95875399391136,-2.00394195268137,-1.91337769908384,-1.85341526422669,-2.07854460841458,-2.09140840340875,-2.15503405120374,-1.91083962093132,-2.10817453329454,-1.97291747337159,-2.09977724813106,-2.05284347018006,-1.94986899270827,-2.05766279130547,-1.90909696731129,-1.94668530128348,-2.01238470621833,-1.84454006496398,-1.88828344784855,-1.92735467053863,-2.03668179748776,-2.08838813833425,-1.81615860025811,-1.87936250204308,-2.02130215667884,-1.98080204679157,-1.91944869005387,-2.13593256846701,-2.04878941936749,-1.94688671203954,-2.01425624889547,-2.19894736649045,-1.86490354005658,-1.8309249067861,-2.05838432002046,-1.74480779890404,-2.06537730966959,-1.89387611414011,-2.066383483974,-1.8962350312937,-2.08080991365304,-1.92922247098094,-1.97540330664935,-2.02150429561521,-2.07229815104237,-1.99469202802706,-1.9184273294893,-1.89398135078083,-1.8996841096163,-2.11836204473548,-2.01580249977399,-2.04457707828208,-2.0188916722106,-1.95070391727954,-1.86408116155769,-2.00836177145652,-1.92465036302283,-1.98841563550546,-1.95413679012994,-1.88747976300931,-2.20822588737109,-1.95950824226836,-1.90685296845157,-2.07722177791469,-1.90726225427214,-1.87951292992055,-1.90393176953559,-2.03403729550152,-1.89840711273792,-2.15406016084643,-1.84267673571579,-2.01791620570168,-1.9973103244132,-1.82031582276319,-2.06796361358023,-2.00422139264553,-2.08608263141849,-1.86957598806627,-2.0696701551757,-2.20996221520708,-2.1390486127968,-2.0903699654764,-1.88440974788814,-2.1138180112264,-2.08130523456329,-2.02239303554678,-1.87354377738873,-1.90226312596624,-1.98782700983676,-1.95531357412236,-1.95367939954427,-1.94838922311321,-2.03568999744186,-1.83538257323104,-2.05642039281222,-2.03996850585822,-2.13319185839095,-2.07940924803928
PA3,1.9371523824064,1.94645075560138,2.11392929227587,2.00213085665401,1.90086930575307,1.96915955662789,1.99353838699057,2.08695554658917,1.99469763732854,2.05068432053401,1.97458961949375,2.09124953641703,2.02562911253625,1.93611352418372,2.1587319534677,2.01942813189976,2.05350775700561,1.8671210001899,2.05997954380243,2.03000250300287,1.91761238103222,1.83333064145403,2.03685986274179,1.95663751564397,1.94358520771879,1.90376510081949,2.18724322251212,1.9419519037097,1.99413298773744,1.96221125596973,1.85786225234588,2.05866823816487,2.07546701863567,1.95331117449637,1.82000549709903,1.90404644450583,2.01984543674141,1.90403757316374,1.90106645623027,1.80741427538205,1.93560038284296,1.93003116546737,2.01000974832648,2.0483841479349,2.13975098146204,2.02022023307219,2.00867854717722,2.09300995869681,2.03183897352174,2.04500828275361,-2.04266436712832,-2.22838867450954,-1.94276479667545,-1.86223792680968,-2.00491744107743,-2.03981372230801,-1.88323379830825,-2.05320161958238,-1.89072262660293,-1.97790695660516,-2.02451352914935,-2.01548739874932,-2.09258351025464,-2.05026300313939,-1.88661410368553,-2.01901265346733,-1.98415330980242,-2.09411476055892,-1.94883438677869,-1.93156688101666,-2.00213949179744,-2.1219945923553,-1.88875966454625,-2.12050588118146,-1.99225814062411,-2.00239155884958,-1.88407557271807,-2.07535381177607,-1.85954806207989,-2.09434683049504,-2.01845990525687,-2.07501716983838,-1.91595869147888,-2.00704520409012,-1.88879136009265,-1.86437101859601,-2.02410171867821,-2.10047244430674,-2.15284080278089,-1.90430847478442,-1.933373689453,-2.03382754458353,-1.837572108127,-2.0487285649121,-1.92369852947472,-1.98251764824298,-2.04913679767751,-1.92866013415415,-1.80927883436597,-1.93393434209652
PA4,2.11828878620869,2.108776630567,2.01522027872584,1.90638983325841,1.97842702671289,2.07092007448419,2.06826753372456,2.03453333765079,1.93955678960991,1.99367367403,1.83424223942882,1.91068221117143,1.9678408784309,2.29452968028026,1.7936158334621,1.86501064834559,2.03709860264624,1.94093998267559,1.88076872663304,1.80930225965039,1.81404937185265,1.93473497962165,2.04112633094057,2.00856871086407,1.97923333534291,2.01845410921809,2.18508794672765,2.04909602873938,2.03327875854763,1.85543946332156,2.02664141840888,2.0763437399505,2.1249626388829,1.96650677228969,1.88009314615848,2.08345001041816,1.95810927359317,1.7654430396705,2.16985387104997,1.94298782553067,1.98669310764524,1.95648030778188,2.11366542548843,2.03541900255732,2.17664569505429,1.89522290933544,1.89453910945484,1.91261905640356,1.92775196829376,2.0106124963919,0.539993339396168,0.487567093221338,0.590695360751954,0.495714495892375,0.47655456894454,0.624163752243479,0.562460642652713,0.533762029041815,0.563655077848597,0.49798284510243,0.586931071895876,0.553771482000381,0.531908032334171,0.578822833697201,0.519568973332569,0.32396739720979,0.699614622708278,0.533784944731239,0.434572321812875,0.463946108178242,0.445344264999282,0.521782534798753,0.53448617683587,0.491801384383797,0.358184531245223,0.446315933480023,0.536573317918415,0.652765443906023,0.623530141840138,0.417952308669635,0.400034692575624,0.513236736927816,0.568078552068738,0.35293499489401,0.456253245658437,0.631785236488669,0.557896619847822,0.485023070820233,0.441385758955878,0.482091005402153,0.509997578693042,0.479149511723947,0.271176060576654,0.663400214374426,0.378241257967226,0.570928653319667,0.433696481716546,0.359963434937686,0.593210001170252,0.56280532222561
PA5,-1.91455416379574,-2.07351495548152,-1.92760780592287,-2.04993544837116,-2.20103028647089,-2.12534675315308,-1.83231110039057,-2.04957843433096,-2.00053354288995,-2.06136222993105,-1.99450144121126,-1.95088587682866,-2.10415361322754,-1.94393475037938,-2.0595752057515,-1.8989752120627,-2.07395008406172,-1.91795529712865,-2.02546360106136,-2.05388277306265,-1.99338502974996,-1.98375597154312,-2.07166711361168,-2.07306402609363,-2.09348843594156,-1.99257923618297,-2.06174842466515,-2.10515752880533,-2.11257349804755,-2.13000908091343,-1.78040758004028,-1.78305514375374,-2.19552283216396,-2.16226060772967,-2.05752036893883,-1.8580339831813,-2.08721791559793,-1.81208359956348,-2.02871711797994,-2.07617268659656,-1.83265022530344,-1.99674583915394,-2.02097585674539,-2.09971949972581,-2.03104471676017,-1.97936988482624,-2.03998410959396,-1.94511880192977,-1.97673518799594,-2.05510386560153,-0.316086281600723,-0.822958431971175,-0.40887534435539,-0.484074827655057,-0.595699600801899,-0.502071464214674,-0.524129828555604,-0.622308420189855,-0.633803416470273,-0.363822519354806,-0.665109806996447,-0.587987067355153,-0.584650668294293,-0.543959185383179,-0.406480026498544,-0.576745053942212,-0.563667734027981,-0.654665570092402,-0.632576413449899,-0.435007088697507,-0.557609142227502,-0.576621697814303,-0.547363287199745,-0.553507760501134,-0.670906098179472,-0.419207223459062,-0.549085815112174,-0.397451747292763,-0.46345235256296,-0.551119517452604,-0.372493107309054,-0.442141452827744,-0.65926263852739,-0.529878574900465,-0.515284971934007,-0.715146596903262,-0.449698748175452,-0.598776820443074,-0.399627347798119,-0.488843832448031,-0.7174973113358,-0.663290133384828,-0.471146039864651,-0.455868891097304,-0.470821719620655,-0.393998265489884,-0.533737134449543,-0.520951060485376,-0.508804582428085,-0.631910972729645
PA6,2.0914030896408,2.19357732085788,2.03870258454322,2.12524567002535,1.909002762947,2.2160894288081,2.00207818919139,1.92050372623194,2.06147265567799,2.08163796384285,2.14682280779657,2.22747245223614,2.07982038687216,2.18958378463704,1.7697352567321,2.06291360906331,2.21807957479406,2.02638261264985,2.00907962939849,2.10562071637332,2.08204245836224,2.10710922863972,2.15129915708622,2.10340751142666,2.09130385921339,2.22216410535958,2.03316800693675,2.14161130568533,2.08776759866901,1.97352646814496,2.06507071814934,2.16182017717733,1.95455716726468,2.16242864640121,2.1488987499485,1.93549319250905,2.08120115764067,2.08457225897661,2.04389392021219,1.98375856631619,2.03565341099846,1.99686436999176,1.93242387945038,2.33350018057261,2.02820386053674,2.10344069213528,2.00601721735505,2.12883446136179,1.91385812931131,1.90066699782262,-0.0617718917554846,0.0459669026675853,-0.260840935699263,-0.084002936338878,-0.0421416316455119,-0.0233409886802895,-0.270954331950698,-0.237056511909722,0.307193954020308,0.118033658314412,-0.119967286266624,-0.0912196030022926,-0.211665834111689,-0.0973267559364071,-0.0719053095396132,-0.0468016226077092,-0.0723183916171641,0.132829090839882,-0.0476738647069949,-0.148741550717894,0.011330057904609,0.0215611726751603,0.0443049958205396,-0.205519482613087,0.0570704966918835,-0.293870500458789,0.0314083935424277,-0.170853258370653,0.136021067476004,-0.187726846191521,-0.0656769574736533,-0.025893913546692,0.146884089331209,-0.00697363199061093,0.087570155154573,0.00965591489157054,0.0380439178899383,0.0407332559641053,-0.0246542869947165,0.0797018148489111,-0.0407238222831309,-0.260445227598133,-0.16977272020407,0.0842857307816531,0.0503578279379359,0.00193603928404856,0.052512983749514,-0.0647668312528418,-0.0387237814653002,0.137603120724563
PA7,-2.163210905383,-1.81778784215183,-1.95086746826396,-1.89069344343862,-2.00252388402938,-1.97064847701184,-2.06043955534745,-2.1530403796138,-1.95040851963696,-2.17228695973791,-1.93049721331815,-2.06570668237215,-1.95401395329685,-2.00413707078394,-1.9653604984258,-2.08896585202495,-1.85465027945072,-1.96636192117223,-2.08057144624605,-2.01667517011809,-2.06685512488826,-1.90984739366647,-2.02216694108452,-2.05410791023841,-1.977079663475,-2.09479946886841,-2.00876706921013,-2.18859991270482,-2.01004731137696,-2.11526846020762,-2.0591626053005,-2.07386734624304,-2.08691069412188,-1.99535186501707,-2.04541913770536,-1.99038716508874,-2.10790802406337,-1.93980193624977,-2.03454747136383,-2.09864031284657,-1.93246587404299,-2.00635643255552,-1.954560437644,-1.85160442604592,-1.94249153855289,-1.97207875582203,-2.04986197950719,-1.86325742858998,-1.97773562269823,-2.11857458575988,0.0901102553914114,-0.0291492259829683,0.047196192889426,0.0599119674994737,-0.0491011025712836,0.0721039504949421,-0.0508998236927413,-0.09526924323165,0.0394627335327104,0.0530216658340033,-0.0289273193399371,0.183319092278546,-0.0823717103880517,0.0556602061880796,0.0348581129707584,-0.0135132179192858,0.000676534064813698,0.0379563982386647,-0.185163022028711,-0.110498116845174,-0.0512238819387265,0.179431061613409,0.141408194982247,-0.174428791477274,0.104441947308805,-0.0591638672614682,-0.163578998265148,0.0112272584408896,-0.029298036512185,-0.0292449072219872,-0.00816161624078384,-0.135401089047299,-0.0266457124952539,-0.0382391340140618,0.00946913811825412,-0.00938134140357132,-0.122388060300692,0.12929911734808,0.00463638789535013,-0.311736735760012,0.106447765321583,0.171053312598913,-0.116961164242503,-0.0593023244327482,0.0169829307452805,-0.0938891298146176,0.146385741813371,-0.0378176260235357,0.0102608346123488,0.0776350280814301
PA8,-2.37036100343846,-1.85355186710857,-2.0592775852251,-2.02058549899053,-2.00732894897057,-1.97140253843988,-2.08798180298137,-2.17767751896669,-2.32282168090775,-1.82193888467111,-2.16919548590889,-2.20105007199172,-2.0767509656094,-2.01116216775071,-2.11045659879897,-2.12492737153448,-2.08229077197335,-1.72936169503526,-2.02151463760366,-2.08405051415068,-2.03367319450501,-2.21681096545278,-1.87020512110681,-1.87562137907546,-1.90333079617256,-1.97167380638371,-2.27055023897291,-2.00553108205043,-2.37425678488395,-1.8593865976759,-2.12566812249368,-2.29242466066642,-2.05420104780399,1.47961525211068,1.59874673957013,1.99937683769909,1.86941524247695,2.21408766263846,2.16076785571058,2.11706090946759,2.07125463001373,2.21754790860414,1.86264013249322,2.03413072257664,2.23947377074668,1.65751540266574,1.99767494446286,1.59137924180426,2.31393487283846,2.00333858663565,1.72008704452788,2.09870060932384,1.91357767860254,2.12900582207686,2.09187085056441,1.9948628565457,1.8746172828054,1.86516335290869,2.00019229939196,2.3407332188182,2.0134403676994,1.63400920524319,2.14034637417929,1.53596533114971,1.89721175791118,2.20073806906688,-0.19760463470755,-0.0282237021092886,0.117471632428732,-0.102837223023563,-0.141665534737617,-0.125828882348471,-0.170211916394485,-0.0941846018051986,-0.0215704978758043,0.0718850505806142,-0.0232337192228424,0.0223546310604638,-0.0711786703504826,0.0853509952344441,-0.101593586980443,-0.0229625641954796,0.114671832687575,-0.0511427928417937,-0.0465139926001444,-0.0990092897200468,0.0615841379523791,0.0532053277163905,0.126238182123772,0.0453209738842017,-0.0285248830773693,-0.0180680357703899,0.141984791667557,-0.158362122590895,-0.0409697664382744,-0.191326834571298,-0.0810325874775798,-0.0165832010530372,-0.136471273596847,-0.154706447075471
PA9,1.90057148811345,2.18352710276294,1.69922131354009,2.06284789891538,2.07107099541653,1.88141566283888,2.03139388922225,2.0347111242368,1.96822931358872,1.71487691108329,1.95556423347291,1.70955480826208,1.75861227778116,1.89739708475533,1.92543937435285,1.92165677252648,2.27193433671108,2.02197679341346,1.82123213225764,2.02470640985921,2.02975400831947,1.78225808556938,2.23123535777873,2.09679923821462,2.38341889439978,2.15762224011663,1.52794761907181,1.73599165221253,2.59411447068655,1.8226303019007,2.0962224461537,1.77388678359585,1.8647353871474,1.0537976149869,1.07745730625198,1.07063229646507,0.954874407450061,0.736986853882616,0.97822895673696,1.01877991125991,1.03703897932973,0.965959261829483,1.0488713446664,0.930811935551761,1.00584429088719,0.866915545046521,1.03112742323502,1.06914268038273,1.0762162401989,0.974561250134652,0.949566894201878,0.947040991477466,0.961253405329106,0.927008852699933,1.1053439623366,0.972872937879999,0.826706283741977,1.10663369212883,0.943803547433495,0.939214069893347,1.02749239237792,0.999888115662539,1.00994354614004,0.91904788668663,1.02971183904712,0.918412652514426,0.511141129761224,0.459932465938154,0.463332830969538,0.43758307606991,0.452921775119884,0.436466508221091,0.57858606894769,0.474349277005706,0.444220956475235,0.54164222383279,0.498275062500078,0.535068088534846,0.427108880195136,0.481944876301568,0.482054793150209,0.497760237614426,0.472209591977862,0.503520192205279,0.44501211947079,0.481567014383494,0.500240308119019,0.535252268060478,0.503807107967974,0.475314740169985,0.544199452951272,0.504380389205137,0.446400025809275,0.487262994363172,0.505643267682344,0.498505235578738,0.452100573090701,0.47200490638416,0.578925547225181,0.569308542459314
